,number,name,seniority,country,has_website,estimated_contribution_minimize,auto_consistency,teleop_consistency,auto_park,tele_ascent,auto_sample_net,auto_sample_low,auto_sample_high,auto_specimen_low,auto_specimen_high,teleop_sample_net,teleop_sample_low,teleop_sample_high,teleop_specimen_low,teleop_specimen_high,foul_points,auto_points,teleop_points,total_points,rank,estimated_contribution_opr,wins,losses,ties,award,award_rank
0,16596,CAI - Crazy Artificial Intelligence,6,Canada,False,16.8,0.7231876186254717,0.7194270814801046,0.42857142857142855,2.5714285714285716,0.03571428571428571,0.0,0.35714285714285715,0.0,0.35714285714285715,1.0,0.21428571428571427,3.5357142857142856,0.0,3.25,1.4285714285714286,8.0,74.03571428571429,82.03571428571429,4.25,58.717277592060185,26,5,0,Motivate Award Winner,22
0,20267,Gravity,4,Canada,True,80.0,0.7003435404848097,0.715598870675106,0.0,10.125,0.0,0.0,1.375,0.0,2.25,1.25,0.125,4.125,0.0,7.25,6.25,33.875,120.125,154.0,10.0,103.97435872762784,3,2,0,NONE,0
0,24492,Franco Griffons,2,Canada,False,6.6499999999999995,0.6778051462088138,0.7016385063666498,0.9545454545454546,1.9090909090909092,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.36363636363636365,1.7727272727272727,0.7272727272727273,1.8181818181818181,0.045454545454545456,2.1363636363636362,2.5,6.0,48.77272727272727,54.77272727272727,15.5,52.95431484380955,15,16,0,Rockwell Collins Innovate Award Winner,16
0,18191,St. Pat's CSA9,6,Canada,True,17.0,,0.4749093748608213,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,1.0,0.0,1.6666666666666667,0.0,22.333333333333332,22.333333333333332,16.0,10.594209590538835,1,2,0,NONE,0
0,27437,TPS Spartans,1,Canada,False,3.1500000000000004,0.5768959782364222,0.6174928507664815,0.6,7.8,0.0,0.0,0.0,0.0,0.4,2.4,0.8,0.0,0.0,1.8,7.0,5.8,34.4,40.2,20.0,3.9319269295725783,2,3,0,NONE,0
0,28487,Grizzlis,1,Canada,False,3.9000000000000004,0.7461577671452586,0.7609133145328421,1.0909090909090908,8.590909090909092,0.2727272727272727,0.0,0.09090909090909091,0.0,0.09090909090909091,2.4545454545454546,1.4090909090909092,0.5,0.045454545454545456,1.2272727272727273,3.409090909090909,4.090909090909091,40.04545454545455,44.13636363636363,21.0,51.79054177316881,10,15,0,NONE,0
0,18158,The Futuristics,6,Canada,True,51.675,0.8120484001267148,0.7619702779302456,1.75,7.625,0.041666666666666664,0.0,3.2083333333333335,0.0,0.7083333333333334,0.3333333333333333,0.125,5.75,0.0,3.2083333333333335,1.875,35.458333333333336,91.875,127.33333333333333,4.666666666666667,92.56381002586595,14,5,0,Inspire Award Winner,1
0,26025,Furious Frogs,1,Canada,False,27.549999999999997,0.6866348602567451,0.6860943409218961,2.2,1.8,0.0,0.0,1.1333333333333333,0.0,3.0,0.8,0.0,8.133333333333333,0.0,5.933333333333334,4.666666666666667,41.666666666666664,130.2,171.86666666666667,1.5,134.41674938591746,10,1,0,NONE,0
0,25748,NCS Trail blazers,1,Canada,False,35.0,0.6866127750577453,0.7044085861105011,0.2,2.2,0.2,0.0,0.3333333333333333,0.0,0.8666666666666667,0.6,0.6666666666666666,4.866666666666666,0.26666666666666666,4.333333333333333,6.666666666666667,13.333333333333334,94.53333333333333,107.86666666666666,8.5,45.300856904417984,8,5,0,NONE,0
0,24232,PMR INFERNO,2,Canada,False,32.175,0.6467559751278562,0.6519413232665145,0.75,1.875,0.0,0.0,1.125,0.0,1.0,0.25,0.125,5.25,0.0,4.5,5.625,20.5,92.875,113.375,17.0,34.93629576394133,4,4,0,NONE,0
0,28915,FFCA NMS Cobras 2.0,1,Canada,False,-0.00025,0.6104773547578233,0.6366141590376604,0.0,0.08333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,1.8333333333333333,0.3333333333333333,0.8333333333333334,0.0,7.333333333333333,31.5,38.833333333333336,25.0,-3.851810889228867,1,4,0,NONE,0
0,27931,ALCA Robotics,1,Canada,False,4.2,0.6613938125231194,0.7106258734673533,0.0,1.8317580340264648,1.173913043478261,0.043478260869565216,0.08695652173913043,0.0,0.21739130434782608,1.9130434782608696,0.7391304347826086,0.9130434782608695,0.08695652173913043,3.0869565217391304,5.434782608695652,6.043478260869565,51.608695652173914,57.65217391304348,19.25,64.59497018180512,9,22,0,NONE,0
0,26145,Nighthawks Robotics 2,1,Canada,False,3.8,0.7201138217404845,0.69984681130655,0.5714285714285714,11.857142857142858,0.3333333333333333,0.0,0.42857142857142855,0.19047619047619047,1.3333333333333333,1.8571428571428572,0.6190476190476191,1.380952380952381,0.2857142857142857,3.2857142857142856,1.4285714285714286,19.142857142857142,66.52380952380952,85.66666666666667,6.333333333333333,82.44175100516804,17,9,0,Inspire Award Finalist,2
0,22242,Alpha Dogs Omega,3,Canada,True,29.0,0.7152724445131489,0.7235243902120436,1.125,1.3125,0.1875,0.0,0.3125,0.0,0.6875,1.375,0.25,3.8125,0.0,2.5,5.3125,11.625,68.25,79.875,16.0,52.7728938889693,5,5,0,NONE,0
0,19446,Team Titans Go,4,Canada,False,11.55,0.7090909675087724,0.7423985542573996,1.5,1.9615384615384615,0.0,0.0,0.9615384615384616,0.0,1.6153846153846154,0.6923076923076923,0.2692307692307692,4.653846153846154,0.0,4.269230769230769,5.961538461538462,26.153846153846153,92.76923076923077,118.92307692307692,5.666666666666667,94.5945465968582,12,7,0,Finalist Alliance Award Winners,7
0,26089,Cyber Eagles - Topaz,1,Canada,True,6.300000000000001,0.6902330772691689,0.7551133939855247,1.5,2.25,0.05,0.0,0.5,0.05,0.6,0.95,1.0,2.85,0.05,2.55,2.0,12.65,59.6,72.25,7.666666666666667,57.91913140882098,18,8,0,Think Award Winner,10
0,22460,SJHS Gyro Falcons - BotLobster,3,Canada,False,6.824999999999999,0.6660969780457574,0.7446027854783668,1.4210526315789473,2.210526315789474,0.47368421052631576,0.05263157894736842,0.0,0.0,0.3157894736842105,1.631578947368421,1.105263157894737,0.10526315789473684,0.05263157894736842,1.736842105263158,2.8947368421052633,6.526315789473684,33.0,39.526315789473685,7.333333333333333,21.068459102175716,12,14,0,Design Award Winner,19
