Unnamed: 0,number,name,rookie_year,country,has_website,auto_park,tele_ascent,auto_sample_net,auto_sample_low,auto_sample_high,auto_specimen_low,auto_specimen_high,teleop_sample_net,teleop_sample_low,teleop_sample_high,teleop_specimen_low,teleop_specimen_high,minor_fouls,major_fouls,auto_points,teleop_points,rank,estimated_contribution_opr,wins,losses,ties,awards
0,27930,SJHS Gyro Falcons - Prime Falcon,2024,Canada,False,"False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False","NONE,NONE,NONE,ASCENT_1,ASCENT_1,ASCENT_1,ASCENT_1,OBSERVATION_ZONE,ASCENT_1,ASCENT_1,NONE,NONE,NONE,NONE,ASCENT_1,ASCENT_1,NONE,ASCENT_1,ASCENT_1,ASCENT_1","0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0","0,0,0,2,0,1,2,2,0,0,1,0,1,0,0,2,0,0,0,0","0,0,0,1,5,5,3,0,1,6,7,9,3,3,1,1,2,1,0,1","0,4,2,0,0,0,0,0,2,0,0,0,3,4,2,6,2,1,3,3","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,1,1,0,0,0,1,5,1,0,1,0,1,0,0,5,4,3","0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0","0,0,3,3,0,3,0,0,3,13,17,3,7,8,7,11,3,17,3,3","9,35,16,21,48,28,19,7,33,77,55,39,48,47,33,62,27,80,67,61","2,4,4","11.332914913745133,22.06875713163914,22.39844930995438",21.0,5.0,0.0,Inspire Award Winner
0,26242,YT-OG,2024,Canada,False,"False,False,False,True,True,False,False","OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,ASCENT_1,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE","0,0,0,0,0,0,0","0,0,0,0,0,0,0","1,1,0,0,0,1,1","0,0,0,0,0,0,0","0,0,0,1,0,0,1","0,3,1,0,0,2,0","3,0,3,0,5,0,1","5,7,3,4,0,4,4","0,0,0,0,0,0,0","0,0,0,3,0,4,3","0,0,0,1,0,0,0","0,1,0,0,1,0,1","8,11,0,16,6,11,21","70,65,56,68,38,79,84",4,38.05303030303024,2.0,3.0,0.0,Winning Alliance Award Winners
0,20274,Spartiates,2021,Canada,False,"False,False,False,False,False","NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,3,0","0,0,0,0,1","0,2,0,0,1","0,0,0,4,0","0,0,1,0,0","0,1,1,4,1","1,0,0,0,0","0,0,0,0,1","3,0,0,30,3","0,21,19,78,16",31,12.920370966193717,1.0,4.0,0.0,
0,21593,Higgins Hawks,2022,Canada,False,"True,True,False,True,True,False,True,True,True,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True","NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,OBSERVATION_ZONE","0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0","2,5,6,7,2,6,4,6,9,1,6,8,5,3,7,5,2,0,0,2,3,0,5,3","0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,10,0,0","0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,8,0,8,1,7,0,0,0","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,4,0,0,0,0,0,1,0,6,0,0,1,0,7,0,5,0,0,0,0","0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0","3,3,5,6,3,11,3,3,3,0,6,5,22,3,3,13,19,20,11,3,5,7,3,3","4,16,34,36,50,44,14,18,21,13,28,22,88,14,20,78,71,88,70,80,80,46,13,12","8,15,26,6","18.601669091044283,3.2142382793515494,25.60119138452557,24.35964337158711",15.0,16.0,0.0,Judges' Award Winner
0,18634,Very CATastrophic,2020,Canada,False,"False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False","NONE,OBSERVATION_ZONE,NONE,NONE,ASCENT_1,OBSERVATION_ZONE,ASCENT_1,ASCENT_1,ASCENT_1,NONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,NONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,ASCENT_1,OBSERVATION_ZONE","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,1,0,0,1,1,0,2,0,0,1,0,0,1,1,2,0,0,0,0,0","2,4,1,1,0,0,0,1,2,0,0,0,3,5,0,0,0,0,4,1,0,1","0,0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0","1,0,0,2,0,0,1,0,0,1,1,4,0,0,1,1,3,3,0,0,0,0","0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0","0,1,1,0,5,2,5,4,8,3,0,1,0,0,4,7,6,1,0,0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0","0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0,12,13,6,0,13,13,0,20,0,0,10,0,4,10,13,20,11,3,0,3,3","12,24,31,25,57,50,64,51,90,38,8,57,9,20,48,81,87,37,14,6,3,28","13,12,28,22","18.398614844230593,23.951295218124113,19.322433398431894,4.924355234053249",7.0,24.0,0.0,
0,22648,Robotic Raiders,2022,Canada,True,"False,False,False,False,False,True,False,True,True,True,True","OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,ASCENT_1,ASCENT_1,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,3,2,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,3,0,0,0,0","5,6,6,5,4,0,0,0,0,1,4","0,0,0,0,0,0,0,0,0,3,0","0,0,0,0,0,7,4,13,12,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,4,6,4,7,6,6,5,5","0,0,2,0,0,0,1,0,0,0,0","0,0,0,0,1,0,0,0,0,0,0","0,0,0,3,0,3,33,27,22,3,3","13,15,15,56,86,99,108,170,174,82,64","22,18","12.719657262824574,44.01587571944028",4.0,7.0,0.0,
0,16488,Rams Robotics,2019,Canada,False,"False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False","NONE,NONE,NONE,ASCENT_1,ASCENT_1,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,NONE,OBSERVATION_ZONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,OBSERVATION_ZONE","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1","0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,3,4,1,1,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,1,1,1,3,2,0,1,1,0,1,3,3,2,4,3,3,3,2","0,5,4,5,5,1,0,0,0,3,0,0,0,6,0,0,0,1,0,0,1,1,2","3,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,0,0,1,2,0,1","0,0,0,0,0,4,0,0,6,0,0,0,0,0,3,10,10,5,10,4,4,4,3","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,2,0,4,3,3,5,3,0,3,3,5,4,8,6,2,9,8,6,4,6","1,0,0,0,0,3,3,0,5,5,0,0,0,0,0,1,0,1,0,0,0,0,0","1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0","0,0,3,3,3,26,10,10,30,20,7,17,14,0,21,33,38,47,75,38,38,40,22","12,25,8,36,43,77,33,36,108,42,4,76,56,65,70,178,158,62,203,149,120,104,125","18,16,9","12.954131103462121,52.20680329239753,73.7544971753584",6.0,11.0,0.0,"Inspire Award Finalist,Inspire Award Winner"
0,18841,KSS ONE,2020,Canada,True,"False,False,False,False,False,False,False,False,False,False,False","OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,1,0,0,0,3,0,3","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,3,0,3,0","3,4,1,0,2,1,2,1,0,0,0","0,0,4,0,1,3,0,0,0,0,0","0,0,0,0,1,0,1,9,8,4,14","0,0,0,0,0,0,0,0,0,0,0","4,0,0,5,0,2,0,6,1,6,4","0,0,0,1,0,0,2,2,0,1,0","0,0,0,0,0,0,0,0,0,0,0","3,3,0,0,8,0,0,30,24,33,24","52,14,24,53,22,37,18,140,80,95,158","11,26","-10.158723434781493,13.221037725808783",2.0,9.0,0.0,
0,19490,SMT Titans - The 'Tita'BOTS,2021,Canada,False,"False,False,False,False,False","NONE,OBSERVATION_ZONE,ASCENT_1,OBSERVATION_ZONE,ASCENT_1","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","3,3,0,4,2","0,0,0,1,2","0,0,4,0,0","0,0,0,0,2","2,0,0,0,0","0,0,0,1,0","0,0,1,0,0","0,0,3,0,0","29,9,38,15,30",21,11.513854924107694,1.0,4.0,0.0,
0,24541,RayBotics,2023,Canada,False,"False,True,False,True,False,False,False,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False,False,True","OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,ASCENT_1,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,ASCENT_1,NONE,NONE,NONE,OBSERVATION_ZONE,NONE,ASCENT_1,ASCENT_1,ASCENT_1,ASCENT_1,OBSERVATION_ZONE,OBSERVATION_ZONE,NONE,OBSERVATION_ZONE","0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,1,1,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,2,1,1,1,0,1,1,1,2,0,0,1,2,3,3,2,0,0,0,0,0","0,1,0,1,4,2,5,1,1,0,3,2,2,4,0,0,0,0,0,0,0,0,3,2,4,5,0","0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,3,2,5,1,0,3,0,9,0,0,4,0,0,9,1,7,6,5,6,7,6,0,1,0,0,8","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,1,0,4,2,5,5,4,2,4,2,7,7,6,7,0,2,6,8,8,7,5,3,7,0,5","0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2,0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,3,14,11,3,23,16,37,13,6,23,13,18,39,0,3,10,23,30,33,23,3,0,3,0,19","11,42,32,48,62,30,90,55,117,39,64,62,74,84,147,81,71,71,100,131,142,124,59,48,84,10,132","5,3,4,12","11.981043364334653,54.989830067570885,53.19210736616517,28.433497108473908",22.0,9.0,0.0,Rockwell Collins Innovate Award Finalist
